CATEGORY|DATE|BANK_NAME|ATM_CRM_ONSITE_NOS|ATM_CRM_OFFSITE_NOS|POS_NOS|MICRO_ATM_NOS|BHARAT_QR_CODES_NOS|UPI_QR_CODES_NOS|CREDIT_CARDS_NOS|DEBIT_CARDS_NOS|CREDIT_CARD_POS_TXN_VOLUME_NOS|CREDIT_CARD_POS_TXN_VALUE_AMT|CREDIT_CARD_ECOM_VOLUME_NOS|CREDIT_CARD_ECOM_VALUE_AMT|CREDIT_CARD_OTHERS_VOLUME_NOS|CREDIT_CARD_OTHERS_VALUE_AMT|CASH_WITHDRAWAL_ATM_VOLUME_NOS|CASH_WITHDRAWAL_ATM_VALUE_AMT|DEBIT_CARD_POS_TXN_VOLUME_NOS|DEBIT_CARD_POS_TXN_VALUE_AMT|DEBIT_CARD_ECOM_VOLUME_NOS|DEBIT_CARD_ECOM_VALUE_AMT|DEBIT_CARD_OTHERS_VOLUME_NOS|DEBIT_CARD_OTHERS_VALUE_AMT|CASH_WITHDRAWAL_ATM_VOLUME_NOS.1|CASH_WITHDRAWAL_ATM_VALUE_AMT.1|CASH_WITHDRAWAL_POS_VOLUME_NOS|CASH_WITHDRAWAL_POS_VALUE_AMT
Private Sector Banks|2024-12-31|DHANALAXMI BANK LTD|241|39|1475|0|0|36330|12941|574838|27512|67880.83773999999|6512|28925.35435|0|0.0|288|1030.25|141256|291050.52347|5738|13073.87893|0|0.0|436340|1917014.43486|0|0.0
Private Sector Banks|2024-12-31|FEDERAL BANK LTD|1739|314|21058|0|0|5737909|1095127|13980395|2589902|7477129.514|1763004|9946996.22571|0|0.0|5599|26634.225|2923729|8192476.197|1166964|4273893.562|3188|45183.39|7938001|40424701.323|53|52.2
Private Sector Banks|2024-12-31|HDFC BANK LTD|12403|8646|1695039|2267|2250508|814156|23145038|58395284|79622189|188356626.88606|34752317|343296595.63555|0|0.0|200644|1311482.94308|10324091|40093324.27825999|6776493|34352983.23835|70085|1004027.7956099998|34278579|231886539.194|2382|2439.59681
Private Sector Banks|2024-12-31|ICICI BANK LTD|10186|6088|1802952|6289|597253|3682428|17901052|31819602|20478069|107681723.4581404|60374419|242481049.5650391|69|4569.654|69336|346519.28|6093733|26905800.92231023|3443590|21042596.169229973|5960|122332.7729|15269145|111707972.831|2|1.432
Private Sector Banks|2024-12-31|IDBI BANK LTD|2377|807|13522|1197|0|352568|41023|12107833|81011|339282.6532|66640|263018.5205|0|0.0|537|3132.1|1109950|2757146.0397800347|215688|681956.5104800093|0|0.0|5068995|26263757.86884|108|54.025
Private Sector Banks|2024-12-31|IDFC FIRST BANK LTD|913|295|44375|7647|0|120368|3291800|6705953|10892866|20275257.876|2401694|16946768.634|0|0.0|26787|128393.2|634543|2181735.11371|262269|3062233.91582|0|0.0|3539100|19173070.525|0|0.0
Private Sector Banks|2024-12-31|INDUSIND BANK LTD|1922|1071|249297|141|45568|7134005|3117373|11057251|4237848|57201553.801|7826116|36892185.983|0|0.0|24081|129305.611|718956|2237587.342|533990|2809269.463|978|84345.36288|3890127|23959817.918347|0|0.0
Private Sector Banks|2024-12-31|JAMMU AND KASHMIR BANK LTD|944|633|14349|942|0|591902|125283|4733915|190265|1682543.11518|103415|402799.15654|0|0.0|9751|41588.02011|819833|2251916.17613|907824|645729.67412|0|0.0|5162516|27926296.611|0|0.0
Private Sector Banks|2024-12-31|KARNATAKA BANK LTD|944|562|10590|0|0|110467|0|5490143|0|0.0|0|0.0|0|0.0|0|0.0|746880|1576205.20113|53031|165967.64371|0|0.0|3783632|18429413.823|0|0.0
Private Sector Banks|2024-12-31|KARUR VYSYA BANK LTD|1493|704|2740|0|0|44653|10248|5112105|23237|171223.16478000002|6815|105677.68746000002|0|0.0|530|4273.0|913923|2433800.0659600017|133535|608426.36655|0|0.0|4041537|20155295.71839|0|0.0
Private Sector Banks|2024-12-31|KOTAK MAHINDRA BANK LTD|1896|1441|80585|0|138361|680132|5021613|34694454|11913684|27640905.42031|4394932|40001652.23003|0|0.0|27564|136814.408|1946707|5344279.248|1634794|5437832.185|0|0.0|10353795|52946253.69276999|0|0.0
Private Sector Banks|2024-12-31|NAINITAL BANK LTD|0|0|0|0|0|0|0|284607|0|0.0|0|0.0|0|0.0|0|0.0|14023|28509.197|3355|11159.209|0|0.0|68387|337460.6|0|0.0
Private Sector Banks|2024-12-31|RBL BANK LTD|376|35|2119293|0|3429|138274|5038440|1610758|5540360|30437321.65826|5424398|44776305.16408|0|0.0|35592|156871.02809|157192|476896.6164|91766|644532.35479|71|3187.409|519098|2789843.65|0|0.0
Private Sector Banks|2024-12-31|SOUTH INDIAN BANK|910|370|13940|0|38917|99928|385372|3777228|652597|2514753.23859|673909|4326770.721639999|0|0.0|0|0.0|1033157|2793940.51437|168593|801651.76013|0|0.0|2870579|14604444.573939998|0|0.0
Private Sector Banks|2024-12-31|TAMILNAD MERCANTILE BANK LTD|508|654|2346|0|0|168891|33049|2384102|44678|205222.17848|16647|105848.38869|0|0.0|2039|8432.46557|357803|951666.84284|29642|131828.559|90|249.281|4702814|21639415.4|0|0.0
Private Sector Banks|2024-12-31|YES BANK LTD|1168|157|98651|95092|197898|491987520|2407944|5022677|8607804|17484424.569580004|1113324|13531692.274139998|0|0.0|16453|85730.8|531199|1576969.4325900087|138255|886384.4346499977|32|425.704|2124479|11495119.812|248|248.0
Foreign Banks|2024-12-31|AMERICAN EXPRESS BANKING CORPORATION|0|0|36444|0|0|0|1437498|0|1738714|15017768.001|4418571|42124514.054|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0
Foreign Banks|2024-12-31|BANK OF AMERICA|0|0|0|0|0|0|0|0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0
Foreign Banks|2024-12-31|BANK OF BAHRAIN & KUWAIT B.S.C.|0|0|0|0|0|0|0|802|0|0.0|0|0.0|0|0.0|0|0.0|1114|3621.72719|83|2393.02721|0|0.0|1512|7891.05|0|0.0
Foreign Banks|2024-12-31|BARCLAYS BANK PLC|0|0|0|0|1|0|0|1058|0|0.0|0|0.0|0|0.0|0|0.0|100|579.8136800000001|0|0.0|0|0.0|605|5573.9|0|0.0
Foreign Banks|2024-12-31|CITI BANK|0|0|0|0|0|0|223969|0|143621|1129885.244340008|237890|4018712.644499873|0|0.0|603|5217.9|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0
Foreign Banks|2024-12-31|DBS INDIA BANK LTD|440|336|647|90|0|7414|508863|1739117|537559|2468444.0390500003|300166|2539123.85564|0|0.0|3162|9522.4|197333|517353.98497999785|95823|315569.5837099996|0|0.0|743589|3960853.783000033|0|0.0
Foreign Banks|2024-12-31|DEUTSCHE BANK LTD|13|2|0|0|0|8|0|104832|0|0.0|0|0.0|0|0.0|0|0.0|27883|99481.6084499999|13034|51964.567389999895|0|0.0|29911|184798.633|0|0.0
Foreign Banks|2024-12-31|DOHA BANK Q.P.S.C.|2|0|0|0|0|0|0|22614|0|0.0|0|0.0|0|0.0|0|0.0|1000|3383.29885|240|431.41892|0|0.0|2248|13664.4|0|0.0
Foreign Banks|2024-12-31|HSBC LTD|46|27|0|0|0|0|801372|842628|1096494|4204871.553769904|1644977|15443400.952770906|0|0.0|3195|22257.74967|288260|1530967.42412|0|0.0|0|0.0|252444|1540881.53877|0|0.0
Foreign Banks|2024-12-31|KEB HANA BANK|1|0|0|0|0|0|0|1601|0|0.0|0|0.0|0|0.0|0|0.0|1126|4123.409|138|484.737|0|0.0|348|2304.7|0|0.0
Foreign Banks|2024-12-31|KOOKMIN BANK|0|0|0|0|0|0|0|481|0|0.0|0|0.0|0|0.0|0|0.0|614|2611.8478|230|452.39362|0|0.0|116|711.1|0|0.0
Foreign Banks|2024-12-31|SBM BANK INDIA LTD|0|0|0|0|0|0|693987|820325|225432|367722.46815000125|427934|957436.0668499996|0|0.0|7397|34097.35313|9276|26655.71275999999|7131|21420.42188|0|0.0|28748|86117.84778|0|0.0
Foreign Banks|2024-12-31|STANDARD CHARTERED BANK LTD|101|46|0|0|0|0|928039|1029810|1120394|4261298.957200252|1169801|6374806.011460783|0|0.0|2172|14377.3375|342183|1213448.8758100185|146949|599237.2237899988|37|706.479|612364|3271071.3218000005|0|0.0
Foreign Banks|2024-12-31|WOORI BANK|0|0|0|0|0|0|0|1282|0|0.0|0|0.0|0|0.0|0|0.0|2222|8017.420219999998|1046|2993.5390399999987|0|0.0|644|4807.3|0|0.0
Payment Banks|2024-12-31|AIRTEL PAYMENTS BANK|0|0|0|142289|0|2157842|0|5166271|0|0.0|0|0.0|0|0.0|0|0.0|52525|40135.34309999999|52725|112106.16025|0|0.0|357178|1458042.28761|0|0.0
Payment Banks|2024-12-31|FINO PAYMENTS BANK|0|0|0|445603|0|11246|0|10036287|0|0.0|0|0.0|0|0.0|0|0.0|132064|313722.179|10252|41459.73364|0|0.0|2171864|7357331.258|6|3.4
Payment Banks|2024-12-31|INDIA POST PAYMENTS BANK|0|0|0|196421|0|1685722|0|21861433|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|204691|93385.93111|0|0.0|0|0.0|0|0.0
Payment Banks|2024-12-31|JIO PAYMENTS BANK|0|0|0|0|0|6810|0|373897|0|0.0|0|0.0|0|0.0|0|0.0|13452|12229.65219|15850|30342.67949|1573|616.0720600000001|50148|187821.9|0|0.0
Payment Banks|2024-12-31|NSDL PAYMENTS BANK|0|0|0|308604|0|0|0|1350504|0|0.0|0|0.0|0|0.0|0|0.0|14286|21104.06225|47684|41236.19172|0|0.0|469985|1137297.85|0|0.0
Payment Banks|2024-12-31|PAYTM PAYMENTS BANK|0|0|0|0|0|0|0|30605276|0|0.0|0|0.0|0|0.0|0|0.0|123|102.85953|500|210.26269|0|0.0|151|412.1|0|0.0
Small Finance Banks|2024-12-31|AU SMALL FINANCE BANK LTD|668|6|0|843|0|339350|1030962|8833571|1016972|5594155.45067|1997732|8050608.11913|479|238.821|4347|26293.7|197729|556495.0240499944|195103|923456.1722799954|190|3053.315|1598964|8349838.797|132|132.0
Small Finance Banks|2024-12-31|CAPITAL SMALL FINANCE BANK LTD|185|2|0|0|0|0|0|235870|0|0.0|0|0.0|0|0.0|0|0.0|25044|82977.33277|2660|14202.82664|0|0.0|111892|661833.551|0|0.0
Small Finance Banks|2024-12-31|EQUITAS SMALL FINANCE BANK LTD|371|4|2793|331|54769|0|11|1423522|73|119.15536000000002|31|62.48009|0|0.0|7|4.3|111842|267289.10734|27500|135753.0242|0|0.0|1999779|5915522.73479|0|0.0
Small Finance Banks|2024-12-31|ESAF SMALL FINANCE BANK LTD|667|2|0|6274|0|0|47|5804134|67|203.13817|327|186.15303|0|0.0|0|0.0|146986|286827.33422999986|9472|30197.80469|0|0.0|839700|4019327.499|0|0.0
Small Finance Banks|2024-12-31|JANA SMALL FINANCE BANK LTD|58|2|0|122|0|503843|0|3653288|0|0.0|0|0.0|0|0.0|0|0.0|41673|90536.64631|7603|25103.48241|0|0.0|341543|1567548.72023|0|0.0
Small Finance Banks|2024-12-31|NORTH EAST SMALL FINANCE BANK LTD|17|1|0|0|0|0|0|379538|0|0.0|0|0.0|0|0.0|0|0.0|4179|6364.94553|1608|1704.3966799999998|0|0.0|143444|338138.5|46|37.512
Small Finance Banks|2024-12-31|SHIVALIK SMALL FINANCE BANK LTD|0|0|0|0|0|0|0|70234|0|0.0|0|0.0|0|0.0|0|0.0|2918|7333.517719999997|2095|10003.124649999996|0|0.0|25210|137463.92|0|0.0
Small Finance Banks|2024-12-31|SURYODAY SMALL FINANCE BANK LTD|0|0|0|67|0|0|17|828938|2|0.43|19|6.346|0|0.0|0|0.0|50906|57605.593|973|4055.732|0|0.0|69171|273058.335|0|0.0
Small Finance Banks|2024-12-31|UJJIVAN SMALL FINANCE BANK LTD|607|4|0|0|0|624349|0|7348988|0|0.0|0|0.0|0|0.0|0|0.0|141539|280875.46203999995|37149|128106.00558|0|0.0|2789698|10500820.437|11|7.901220000000001
Small Finance Banks|2024-12-31|UNITY SMALL FINANCE BANK LTD|180|0|0|0|0|0|0|59135|0|0.0|0|0.0|0|0.0|0|0.0|6884|12039.347900000015|497|2062.8778300000004|0|0.0|23826|92367.7|0|0.0
Small Finance Banks|2024-12-31|UTKARSH SMALL FINANCE BANK LTD|356|7|0|713|0|39171|66268|1688966|3074|5446.36036|18456|15852.26349|439519|73331.85702|146|142.5|27257|105237.88900000016|6817|64130.099469999885|9|178.0|241866|1438709.16807|0|0.0
